Author,Title,Edition/Printing,"# Copies",HB/PB,ISBN,Section,Year
"Bobrow, Jerry","Cliffs Test Prep GRE",7,,PB,,Crate,
"Bodley, John H.","Cultural Anthropology: Tribes, States, and the Global System",3,,PB,767411943,,
"Boesch, Chrisophe & Hedwige Boesch-Achermann","Chimpanzees of the Tai Forest",1,2,PB,198505078,,
Boethius,"Consolation of Philosophy",,2,PB,192838830,,
"Bogira, Steven","Courtroom 302",1,,PB,679752064,,
"Bohannan, Paul & Philip Curtin","Africa & Africans",4,2,PB,881338400,,
"Bohlmann, Paul A. & Adonica Y. Lui","Harvard College Guide to Grants",11,,PB,943747198,,
"Boix, Carles","Political Parties, Growth and Equality",,,PB,521585953,,
"Boler, Megan","Digital Media and Democracy",1,,HB,262026420,,2012S
"Boll, Heinrich","The Lost Honor of Katharina Blum",,,PB,140187286,,
"Boll, Heinrich","Wanderer, Kommst du Nach Spa… Erzahlungen",,,PB,3423004371,German,
"Bondanella, Julia Conaway & Mark Musa","Italian Renaissance Reader",18,5,PB,452010136,,
"Bondurant, Joan V.","Conquest of Violence: the Gandhian Philosophy of Conflict",7,,PB,69102281X,,
"Books, Sue","Invisible Children in the Society and its Schools",2,,PB,805843183,,
"Booth, Alison & J. Paul Hunter & Kelly J. Mays","Norton Introduction to Literature",9,3,HB,393926149,"Literature Anthology",2011S
"Booth, Wayne C. & Gregory G. Colomb & Joseph M. Williams","Craft of Research",2,4,PB,226065685,,2011S
"Booth, Wayne C. & Gregory G. Colomb & Joseph M. Williams","Craft of Research",3,3,PB,226065669,,2011S
"Borchert, Wolfgang","Die Traurigen Geranien",,,PB,3499109751,German,
"Borchert, Wolfgang","Draufsen vor der Tur",,,PB,349910170X,German,
"Bordo, Susan","Male Body",5,,PB,374527326,,
"Borges, Jorge Luis",Ficciones,41,,PB,802130305,,
"Borges, Jorge Luis",Labyrinthes,35,,PB,811200124,,
"Boritt, Gabor S.","Gettysburg Nobody Knows",1,3,PB,195129067,,
"Born, Steve","Endurance Athlete's Guide to Success",8,,PB,205940670,,2011F
"Bornstein, Kate","Gender Outlaw",1,,PB,679757015,,
"Borroff, Marie","Sir Gawain and the Green Knight",3,2,PB,393097544,,
"Borroff, Marie","Sir Gawain and the Green Knight, Patience and Pearl",1,2,PB,393976580,,
"Boss, Judith A.","Analyzing Moral Issues",3,,PB,72877030,,
"Bouchard, Constance Brittain","Strong of Body, Brave and Noble: Chivalry and Society in Medieval France",1,2,PB,801485487,,
"Bouraoui, Nina","Garcon manque",,,PB,2253152544,French,
"Bourne, Lyle E. Jr. & Nancy Felipe Russo","Psychology Behavior in Context",1,,HB,393972097,Psychology,
"Bowen, John R.","Why the French Don't Like Headscarves",2,,HB,691125066,,
"Boyarin, Daniel","Dying for God",,,PB,804737045,,
"Boyce, William E. & Richard C. DiPrima","Elementary Differential Equations and Boundary Value Problems",7,,HB,471319996,Floor,2010F
"Boyd, Jack","Instructor's Resource Manual to Accompany Encore! A Guide to Enjoying Music",,,PB,1559340657,Music,
"Boyd, Richard","Philosophy of Science",7,,PB,262023156,,
"Boyer, Paul","When Time Shall Be No More",1,,PB,674951298,,
"Boyer, Paul S. et al.","Enduring Vision: a History of the American People Volume Two: From 1865",4,8,PB,395960797,History,
"Boyer, Richard & Geoffrey Spurling","Colonial Lives",2,3,PB,195125126,,2012S
"Boylan, Jennifer Finney","She's Not There: A Life in Two Genders",8,,PB,767914295,,2012S
"Brackett, David","Pop, Rock, and Soul Reader",1,,PB,195125711,,
"Bradshaw, York W. & Michael Wallace","Global Inequalities",5,,PB,080399060X,,
"Bragg, Bernard","Lessons in Laughter",1,,PB,1563681390,,2011S
"Brahimi, Denise","Langue et Litteratures Francophones",,2,PB,2729805761,French,
"Braidotti, Rosi","Patterns of Dissonance",,,PB,415904919,,
"Brandt, Willy","North-South: A Program for Survival",7,,PB,262520591,,
"Brannon, Linda","Gender: Psychological Perspectives",1,,PB,205154603,,
"Branson, Susan","These Fiery Frenchified Dames",1,,PB,812217772,,2012S
"Braudy, Leo & Marshall Cohen","Film Theory and Criticism",7,,PB,195365627,,2011S
"Brautigan, Richard","Confederate General from Big Sur",1,,PB,,,
"Bray, Francesca","Rice Economies",1,,PB,520086201,,
"Brecht, Bertolt","Mother Courage and Her Children",2,2,PB,802130828,,
"Breedlove, S. Marc & Mark R. Rosenzweig & Neil V. Watson","Biological Psychology",5,2,HB,878937059,Floor,2010F
"Breedlove, S. Marc & Neil V. Watson & Mark R. Rosenzweig","Biological Psychology",6,,HB,878933242,Psychology,2012S
"Breslaw, Elaine G.","Tituba, Reluctant Witch of Salem",3,,PB,814713076,,
"Bressler, Charles E.","Literary Criticism: An Introduction to Theory and Practice",2,,PB,138974225,,
"Bressler, Charles E.","Literary Criticism: An Introduction to Theory and Practice",3,2,PB,130333972,,
"Bressler, Charles E.","Literary Criticism: An Introduction to Theory and Practice",4,,PB,131534483,,
"Breton, Andre",Nadja,8,,PB,802150268,,
"Breuilly, John","Nationalism and the State",2,,PB,226074145,,
"Bridenthal, Renate & Atina Grossmann & Marion Kaplan","When Biology Became Destiny: Women in Weimar and Nazi Germany",4,,PB,853456437,,
"Brisac, Genevieve",Petite,,,PB,2020281805,French,
"Brittain, Vera","Testament of Youth",5,2,PB,143039237,BOX,2011S
"Brittain, Vera","Testament of Youth",6,,PB,143039235,,2011S
"Brittain, Vera","Testament of Youth",7,4,PB,143039237,,2011S
"Brockett, Oscar G. & Franklin J. Hildy","History of the Theatre",8,,HB,205281710,Theater,2011S
"Brockett, Oscar G. & Franklin J. Hildy","History of the Theatre",9,,HB,205358780,Theater,2011S
"Brody, Baruch","Ethics and its Applications",,,PB,155245104,,
"Brody, Elaine","Paris: The Musical Kaleidoscope 1870-1925",1,,HB,80761176X,,
"Bronte, Charlotte","Jane Eyre",,5,PB,,,
"Bronte, Emily","Wuthering Heights",,7,PB,,,2011S
"Brook, Peter","Empty Space",15,,PB,689705581,,
"Brooke, Owen, Sassoon, Rosenberg and Others","World War One British Poets",,,PB,489295680,,
"Brooks, Geraldine & Heidi Pitlor et al.","Best American Short Stories 2011",,,PB,547242163,,2012S
"Brooks, James F.","Captives and Cousins",1,2,PB,807853828,,
"Brooks, Stephen","As Others See Us",1,,PB,155111688X,,
"Brooten, Bernadette J.","Love Between Women",1,,HB,226075915,,
"Broude, Norma & Mary D. Garrard","Expanding Discourse",,2,PB,64302075,,2011S
"Brower, Kenneth","Starship and the Canoe",1,,PB,60910305,,2011S
"Brown, Archie","Contemporary Russian Politics",1,,PB,198299990,,
"Brown, Charles Brockden","Arthur Mervyn or, Memoirs of the Year 1793, with Related Texts",1,,PB,872209213,,2011S
"Brown, Charles Brockden","Wieland and Memoirs of Carwin the Biloquist",22,,PB,140390790,,
"Brown, Clarence","Portable Twentieth-Century Reader",,4,PB,142437573,Floor,2010F
"Brown, Clifford W. Jr. & Lynda W. Powell & Clyde Wilcox","Serious Money",1,,PB,521497809,,
"Brown, Dan","Da Vinci Code",75,,HB,385504209,,
"Brown, Kate","Biography of No Place",,,PB,674019490,,
"Brown, Kathleen M.","Good Wives, Nasty Wenches, and Anxious Patriarchs",5,2,PB,807846236,,
"Brown, Lester R.","Who Will Feed China?",5,,PB,39331409X,,
"Brown, Richard D.","Major Problems in the Era of the American Revolution, 1760-1791",2,,PB,395903440,,
"Brown, Sid","Journey of One Buddhist Nun",1,,PB,791450961,,2010F
"Brown, Sid","Journey of One Buddhist Nun",9,,PB,791450963,,2010F
"Brown, Susan Love","Intentional Community",1,,PB,791452220,,
"Brown, Theodore L. & H. Eugene LeMay Jr. & Bruce E. Bursten & Catherine J. Murphy","Chemistry the Central Science",11,4,HB,136006175,BOX,2011S
"Brown, Victoria Bissell & Timothy J. Shannon","Going to the Source Volume 1: To 1877",1,14,PB,31240204X,History,
"Brown, Victoria Bissell & Timothy J. Shannon","Going to the Source Volume 2: Since 1865",2,,PB,312448236,History,
"Browning, Christopher R.","Ordinary Men",52,5,PB,60995065,,2011S
"Browning, Christopher R.","Origins of the Final Solution",,,HB,803213271,,
"Bruner, Jerome","Actual Minds, Possible Worlds",8,,PB,674003667,,
"Bryman, Alan","Social Research Methods",3,,PB,199202959,,2012S
"Buber, Martin","Eclipse of God",9,,PB,1573924016,,
"Buchner, Georg","Woyzeck Leonce und Lena",,,PB,3150077338,German,2010F
"Buck, Pem Davidson","Worked to the Bone",2,,PB,1583670475,,
"Budrys, Grace","Our Unsystematic Health Care System",,2,PB,742508994,,
"Buechler, Steven M.","Social Movements in Advanced Capitalism",2,4,PB,195126041,,
"Buford, Bill","Among the Thugs",15,,PB,679745351,,
"Bujold, Lois McMaster","Young Miles",,2,PB,743436164,,
"Bujold, Lois McMaster","Young Miles",,,PB,743436164,,
"Bukatko, Danuta & Marvin W. Daehler","Child Development: a Thematic Approach",3,,HB,395868270,Psychology,
"Bullock, Alan","Hitler, A Study in Tyranny",2,,PB,,,
"Burawoy, Michael et al.","Global Ethnography",2,3,PB,520222164,,
"Burdick, John","Blessed Anastacia",,,PB,415912601,,
"Burgess, Anthony","Clockwork Orange",,,PB,345273214,,2011S
"Burian, Laura","Spotlight on China an Intermediate Chinese Course Book One",,,PB,7561907850,Chinese,
"Burian, Laura","Spotlight on China an Intermediate Chinese Course Book Two",,,PB,7561907869,Chinese,
"Burkholder, J. Peter & Claude V. Palisca","Norton Anthology of Western Music",6,,PB,393932409,,2011S
"Burkholder, J. Peter & Claude V. Palisca","Norton Anthology of Western Music Volume 1 Ancient to Baroque",6,,PB,393931266,,2011S
"Burkholder, J. Peter & Claude V. Palisca","Norton Anthology of Western Music Volume 2 Classic to Romantic",6,2,PB,393931273,,2011S
"Burkholder, J. Peter & Claude V. Palisca","Norton Anthology of Western Music Volume 3 Twentieth Century",6,,PB,393932409,,2011S
"Burkholder, J. Peter & Donald J. Grout & Claude V. Palisca","History of Western Music",3,,HB,393931250,,2011S
"Burkholder, Mark A. & Lyman L. Johnson","Colonial Latin America",4,,PB,195137027,,
"Burns, E Bradford","Poverty of Progress",5,8,PB,520050789,,2010F
"Burns, Michael","France and the Dreyfus Affair",1,4,PB,312111673,,
"Burns, Rob","German Cultural Studies",1,,PB,19871503X,,
"Burrin, Philippe","France Under the Germans: Collaboration and Compromise",2,2,PB,1565844394,,
"Burris, Zyme","Captives' Quest",,2,PB,,,2011S
"Burris, Zyme","In Pursuit of Reason",,,PB,,,2011S
"Burroughs, Edgar Rice","Tarzan of the Apes",3,,PB,812967062,,
"Burton, Antoinette","Politics and Empire in Victorian Britain",1,2,PB,312293356,,2011S
"Burton, Sir Richard","Kama Sutra",9,,PB,140622535,,
"Buruma, Ian & Avishai Margalit",Occidentalism,6,,HB,1594200084,,2011S
"Busch, Richard M.","Laboratory Manual in Physical Geology",7,9,PB,131497456,Floor,2010F
"Buss, David M.","Evolution of Desire: Strategies of Human Mating",,2,PB,465021433,,2011S
"Buss, David M.","Handbook of Evolutionary Psychology",1,,HB,471264032,,2012S
"Butler, Jon","Becoming America: the Revolution Before 1776",1,,PB,674006674,,
"Butler, Judith","Psychic Life of Power",,,PB,804728127,,
"Byatt, A.S.","Matisse Stories",10,,PB,67976223X,,
"Byman, Daniel","Deadly Connections: States that Sponsor Terrorism",,,PB,521548687,,
"Byrne, John H. & James L. Roberts","From Molecules to Networks: An Introduction to Cellular and Molecular Neuroscience",2,,HB,123741325,Biology,
"Cabezas, Omar","Fire from the Mountain",4,2,PB,452262763,,
"Cahn, Steven M.","Classics of Modern Political Theory Machiavelli to Mill",4,,PB,195101731,,2011S
"Cahn, Steven M.","Classics of Western Philosophy",7,,PB,872208591,,2011S
"Cahn, Steven M.","Classics of Western Philosophy",6,,PB,872206378,,2012S
"Calavita, Kitty & Henry N. Pontell & Robert H. Tillman","Big Money Crime",1,,PB,520219473,,
"Callaghy, Thomas & Ronald Kassimir & Robert Latham","Intervention and Transnationalism in Africa",1,3,PB,521001412,,
"Calloway, Colin G.","World Turned Upside Down",7,3,PB,312083505,,
"Calo, Mary Ann","Critical Issues in American Art",6,,PB,64309878,,
"Camp, John M.","Archaeology of Athens",2,,PB,300101511,,
"Campbell, Catherine","Letting Them Die': Why HIV/AIDS Prevention Programmes Fail",2,2,PB,852558686,,
"Campbell, Mary Schmidt & Randy Martin","Artistic Citizenship",1,,PB,415978661,,
"Campbell, Neil A. & Jane B. Reece",Biology,7,3,HB,80537146X,Biology,2011S
"Campbell, Neil A. & Jane B. Reece",Biology,6,,HB,805366245,Biology,2011S
"Campbell, Neil A. & Jane B. Reece","International Edition Biology",7,,PB,321269845,Biology,2012S
"Camus, Albert",L'Etranger,,,PB,207030602X,French,2011S
"Camus, Albert",Plague,,,PB,679720219,,
"Canby, William C. Jr.","American Indian Law",3,,PB,314226370,,
"Cantarino, Vicente","Civilizacion y Cultura de Espana",5,,PB,131946382,Spanish,
"Caplan, Jane","Nazi Germany",2,,PB,199276875,,2011S
"Capote, Truman","In Cold Blood",1,,PB,679745580,,
"Capretz, Pierre J. & Beatrice Abetti & Marie-Odile Germain & Laurence Wylie","French in Action: a Beginning Course in Language and Culture",2,7,HB,300058217,French,2011F
"Capretz, Pierre J. & Beatrice Abetti & Thomas Abbate & Frank Abetti","French in Action Workbook Part 1",2,11,PB,300058225,French,2011F
"Capretz, Pierre J. & Beatrice Abetti & Thomas Abbate & Frank Abetti","French in Action Workbook Part 2",2,6,PB,300058233,French,2011F
"Caraley, Demetrios James","American Hegemony: Preventive War, Iraq, and Imposing Democracy",1,3,PB,1884853048,,
"Carbaugh, Robert J.","International Economics",11,,HB,32442194X,Economics,2012S
"Carbonell, Bettina Messias","Museum Studies",,2,PB,631228306,"Social Texts",
"Card, Orson Scott","Shadow of the Hegemon",7,,PB,812565959,,2011F
"Carey, Steven D. & Arthur Beiser","Study Guide to Accompany the Physical Universe",9,,PB,72284153,Physics/Geology,
"Carlyle, Thomas","Selected Writings",5,,PB,140430652,,
"Carment, David & Patrick James","Wars in the Midst of Peace",2,,PB,822956268,,
"Caro, Ana","Valor, Agravio y Mujer",,,PB,8470396803,Spanish,
"Carothers, Thomas","Aiding Democracy Abroad: the Learning Curve",3,,PB,870031694,,
"Carpenter, Brian D.","Practice Tests for Durand and Barlow's Essentials of Abnormal Psychology",3,,PB,534598161,Psychology,
"Carrier, David","Aesthetics of Comics",,,PB,271021888,,
"Carson, Clayborne","In Struggle: SNCC and the Black Awakening of the 1960s",2,,PB,674447271,,
"Carson, Rachel","Silent Spring",11,,PB,618249060,,
"Carter, Brenda et al.","Issues for Debate in American Public Policy",6,2,PB,193311603X,,
"Carter, Forrest","Education of Little Tree",5,,PB,826328091,,
"Carter, Howard & A.C. Mace","Discovery of the Tomb of Tutankhamen",,3,PB,486235009,,2010F
"Carter, Jared","Les Barricades Mysterieuses",1,,PB,1880834405,,
"Carter, Paul","Backstage Handbook",3,3,PB,911747397,,
"Carter, Stephen L.","Culture of Disbelief",7,,PB,385474989,,
"Cascardi, Anthony J.","Cambridge Companion to Cervantes",1,2,PB,521663210,,
"Case, Karl E. & Ray C. Fair","Principles of Macroeconomics",8,2,PB,132226456,Economics,
"Casper, Gretchen & Michelle M. Taylor","Negotiating Democracy: Transitions from Authoritarian Rule",1,,PB,822955881,,
"Castaneda, James Augustin","Festejo de Los empenos de una casa",,,PB,1588711526,Spanish,
"Castaneda, Jorge G.","Perpetuating Power",1,,PB,1565847083,,
"Castaneda, Jorge G.","Utopia Unarmed",,,PB,679751416,,
"Castiglione, Baldesar","Book of the Courier",18,4,PB,140441921,,
"Castillo, Ana","Goddess of the Americas",2,,PB,1573226300,,
"Castillo, Ana","Massacre of the Dreamers",1,2,PB,452274249,,2011S
"Castillo, Carlos & Otto F. Bond","University of Chicago Spanish Dictionary",5,,PB,226666891,Spanish,
"Castles, Stephen & Mark J. Miller","Age of Migration",3,4,PB,1572309008,,
"Cathcart, Thomas & Daniel Klein","Plato and a Platypus Walk into a Bar…",3,,PB,143113874,,2011F
"Cather, Willa","Song of the Lark",15,,PB,395345308,,
"Cavalli-Sforza, Luigi Luca & Francesco Cavalli-Sforza","Great Human Diasporas",8,,PB,201442310,,
"Caves, Richard E. & Jeffrey A. Frankel & Ronald W. Jones","World Trade and Payments",8,,HB,321031423,Economics,
"Centeno, Miguel Angel","Blood and Debt",,,PB,271021659,,
"Cesaire, Aime",Tempest,,,PB,913745405,,2011S
"Cesaire, Aime","Une Tempete",,,PB,2020314312,French,
"Chabon, Michael","Best American Short Stories",1,2,PB,618427058,,
"Chagnon, Napoleon A.",Yanomamo,5,5,PB,155053272,,
"Chalmers, A.F.","What is this thing called Science?",3,,PB,872204522,,
"Chalmers, Marianne & Martine Pierquin","Pocket Oxford Hachette French Dictionary",2,,PB,198607040,French,
"Chambliss, Daniel F.","Beyond Caring: Hospitals, Nurses, and the Social Organization of Ethics",,,PB,226101029,,
"Chanan, Michael","Repeated Takes",1,,PB,1859840124,Music,
"Chance, Norman A.","China's Urban Villagers",2,,PB,30313333,,
"Chang, Grace","Disposable Domestics",1,,PB,896086178,,
"Chang, Iris","Chinese in America",1,,HB,142004170,,
"Chang, Jeff","Can't Stop Won't Stop",7,,PB,312425791,,2011S
"Chang, K.C.","Art, Myth, and Ritual",6,2,PB,674048083,,2010F
"Chang, K.C.","Art, Myth, and Ritual",8,,PB,674048083,,2010F
"Changeux, Jean-Pierre","Neuronal Man: The Biology of Mind",1,,PB,691026661,,2012S
"Changeux, Jean-Pierre","Neuronal Man: the Biology of Mind",3,,PB,195042263,,
"Chang-Rodriguez, Raquel & Malva E. Filer","Voces de Hispanoamerica",1,,HB,838416039,Spanish,2011S
"Chang-Rodriguez, Raquel & Malva E. Filer","Voces de Hispanoamerica",3,,HB,838416535,Spanish,2011S
"Charef, Mehdi","Tea in the Harem",3,3,PB,1852421517,,
"Charry, Eric","Mande Music",,,PB,226101622,,
"Charters, Ann","Portable Beat Reader",4,,PB,140151028,,
"Charters, Ann","Story and Its Writer",7,,PB,312442718,,
"Charters, Ann & Samuel Charters","Literature and Its Writers",3,2,PB,312405111,,
"Chasteen, John Charles","Americanos: Latin America's Struggle for Independence",,3,HB,195178814,,2011S
"Chasteen, John Charles","Born in Blood and Fire",,4,PB,393976130,,2011F
"Chasteen, John Charles","National Rhythms, African Roots",,,PB,826329411,,
Chateaubriand,"Atala, Rene, Le Aventures du Dernier Abencerage",,3,PB,2080708627,French,
"Chatterjee, Gayatri","Mother India",,,PB,851709176,,
"Chatty, Dawn","Mobile Pastoralists",1,,PB,231105495,,
"Chaudhuri, Nupur & Margaret Strobel","Western Women and Imperialism",3,,PB,253207050,,
"Chaudhuri, Shohini","Feminist Film Theories",1,2,PB,415324335,,
"Chavez, Denise","Last of the Menu Girls",4,,PB,1400034314,,2011S
"Chedid, Andree","Le Message",,,PB,2290319856,French,
"Chekhov, A.P.","Lady with the Dog",,,PB,1853992402,Russian,2011S
"Chekhov, Anton","Anton Chekhov's Short Stories",2,5,PB,393090024,,2011S
"Chekhov, Anton","Chekhov: the Major Plays",11,,HB,,,
"Chekhov, Anton","Uncle Vanya",,,PB,486401596,,
"Chen, Jie","Popular Political Support in Urban China",1,,PB,804750572,,
"Cherry, Conrad","God's New Israel",1,,PB,807847542,,
"Chesnutt, Charles W.","Marrow of Tradition",10,,PB,140186867,,
"Chesnutt, Charles W.","Marrow of Tradition",17,,PB,47206147X,,2012S
"Chidester, David & Edward T. Linenthal","American Sacred Space",1,,PB,253210062,,
"Child, Lydia Maria","Hobomok and Other Writings  on Indians",7,,PB,81351164X,,2011S
"Chin, Elizabeth","Purchasing Power",2,,PB,816635110,,
"Chin, Justin","Burden of Ashes",1,,PB,1555836429,,2012S
"Chipp, Herschel B.","Theories of Modern Art",,,PB,520052567,,2011S
"Chirikjian, Jack G.","Biotechnology Theory and Technique Volume 1: Plant Biotechnology, Animal Cell Culture, Immunobiotechnology",1,,PB,867208953,Biology,
